State,State_short,Max_Week_Day,Week,Year,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100,Index3
New Jersey,NJ,11/10/2021,41,2021,10248,130,73.8,0.10248,0.0013,29
Idaho,ID,11/10/2021,41,2021,8408,134,48.1,0.08408,0.00134,29
Nevada,NV,11/10/2021,41,2021,4626,136,62.1,0.04626,0.00136,29
Colorado,CO,11/10/2021,41,2021,14684,137,66.6,0.14684,0.00137,29
Michigan,MI,11/10/2021,41,2021,30526,137,57.5,0.30526,0.00137,29
Missouri,MO,11/10/2021,41,2021,7754,141,55.9,0.07754,0.00141,29
Wisconsin,WI,11/10/2021,41,2021,18233,141,61.9,0.18233,0.00141,29
Louisiana,LA,11/10/2021,41,2021,4416,147,52.7,0.04416,0.00147,29
Arizona,AZ,11/10/2021,41,2021,15557,150,60.3,0.15557,0.0015,29
Oklahoma,OK,11/10/2021,41,2021,7313,165,57.9,0.07313,0.00165,29
West Virginia,WV,11/10/2021,41,2021,7518,173,48.7,0.07518,0.00173,29
New York,NY,11/10/2021,41,2021,23397,176,72.9,0.23397,0.00176,29
Oregon,OR,11/10/2021,41,2021,7779,181,67.6,0.07779,0.00181,29
Alabama,AL,11/10/2021,41,2021,6183,214,53.5,0.06183,0.00214,29
Washington,WA,11/10/2021,41,2021,16047,220,68.4,0.16047,0.0022,29
Illinois,IL,11/10/2021,41,2021,15536,236,69.4,0.15536,0.00236,29
Indiana,IN,11/10/2021,41,2021,13598,248,53,0.13598,0.00248,29
South Carolina,SC,11/10/2021,41,2021,8803,262,56.5,0.08803,0.00262,29
Kentucky,KY,11/10/2021,41,2021,11697,263,62,0.11697,0.00263,29
Tennessee,TN,11/10/2021,41,2021,12964,286,53.7,0.12964,0.00286,29
North Carolina,NC,11/10/2021,41,2021,18565,293,62,0.18565,0.00293,29
Virginia,VA,11/10/2021,41,2021,13697,312,69.8,0.13697,0.00312,29
Ohio,OH,11/10/2021,41,2021,32228,508,55.1,0.32228,0.00508,29
Pennsylvania,PA,11/10/2021,41,2021,31152,511,75,0.31152,0.00511,29
Florida,FL,11/10/2021,41,2021,17913,637,68.1,0.17913,0.00637,29
Georgia,GA,11/10/2021,41,2021,12385,639,56,0.12385,0.00639,29
California,CA,08/11/2021,45,2021,47277,584,76.4,0.47277,0.00584,33
Texas,TX,11/10/2021,41,2021,39230,1392,60.6,0.3923,0.01392,29
Vermont,VT,18/10/2021,42,2021,1404,6,79.1,0.01404,0.00006,30
Rhode Island,RI,18/10/2021,42,2021,1506,12,77.4,0.01506,0.00012,30
Hawaii,HI,18/10/2021,42,2021,872,19,78.3,0.00872,0.00019,30
Connecticut,CT,18/10/2021,42,2021,2721,21,78.2,0.02721,0.00021,30
